Sample,Treatment,replicate,day,percent_1,percent_2,percent_3
pH6_4A,pH 6,A,four,30,26.51162791,28.60465116
pH6_4B,pH 6,B,four,26.51162791,24.41860465,25.81395349
pH6_4C,pH 6,C,four,22.3255814,25.81395349,27.20930233
pH6_4D,pH 6,D,four,26.51162791,25.11627907,23.72093023
pH6_4E,pH 6,E,four,23.02325581,24.41860465,29.30232558
pH6_4F,pH 6,F,four,26.51162791,27.90697674,28.60465116
pH6+MES_4A,pH 6 + MES,A,four,66.12244898,65.30612245,62.44897959
pH6+MES_4B,pH 6 + MES,B,four,66.53061224,63.67346939,64.89795918
pH6+MES_4C,pH 6 + MES,C,four,64.48979592,68.97959184,71.02040816
pH6+MES_4D,pH 6 + MES,D,four,62.04081633,59.59183673,63.26530612
pH6+MES_4E,pH 6 + MES,E,four,58.7755102,60.40816327,59.18367347
pH6+MES_4F,pH 6 + MES,F,four,57.55102041,55.10204082,55.51020408
5%_glucose_4A,pH 6 + 5% glucose,A,four,29.90654206,31.07476636,32.8271028
5%_glucose_4B,pH 6 + 5% glucose,B,four,36.3317757,37.5,41.0046729
5%_glucose_4C,pH 6 + 5% glucose,C,four,51.51869159,52.10280374,50.35046729
5%_glucose_4D,pH 6 + 5% glucose,D,four,35.74766355,34.57943925,33.9953271
5%_glucose_4E,pH 6 + 5% glucose,E,four,28.73831776,28.73831776,29.32242991
5%_glucose_4F,pH 6 + 5% glucose,F,four,29.32242991,25.81775701,26.98598131
10%_glucose_4A,pH 6 + 10% glucose,A,four,42.03581527,41.56456173,42.5070688
10%_glucose_4B,pH 6 + 10% glucose,B,four,51.46088596,48.63336475,53.34590009
10%_glucose_4C,pH 6 + 10% glucose,C,four,47.21960415,49.57587182,47.21960415
10%_glucose_4D,pH 6 + 10% glucose,D,four,46.27709708,42.5070688,41.0933082
10%_glucose_4E,pH 6 + 10% glucose,E,four,34.02450518,29.31196984,28.84071631
10%_glucose_4F,pH 6 + 10% glucose,F,four,32.13949105,32.13949105,31.19698398
pH8_4A,pH 8,A,four,31.12354714,31.12354714,34.35213087
pH8_4B,pH 8,B,four,33.06069737,39.51786483,33.70641412
pH8_4C,pH 8,C,four,31.12354714,29.83211365,31.12354714
pH8_4D,pH 8,D,four,31.12354714,28.54068015,29.83211365
pH8_4E,pH 8,E,four,27.24924666,29.83211365,29.83211365
pH8_4F,pH 8,F,four,37.58071459,32.41498063,39.51786483
pH10_4A,pH 10,A,four,36.03313392,31.89139439,35.34284399
pH10_4B,pH 10,B,four,41.55545329,35.34284399,40.17487345
pH10_4C,pH 10,C,four,35.34284399,33.96226415,34.65255407
pH10_4D,pH 10,D,four,28.43994478,33.96226415,32.58168431
pH10_4E,pH 10,E,four,31.89139439,33.96226415,32.58168431
pH10_4F,pH 10,F,four,40.17487345,43.62632306,42.93603313
